boq_section,item_code,item_name,unit,quantity,quantity_status,confidence,package,source_evidence,notes
A - Structural Frame,,Verandah Frame — 89S41,lm,69.91,measured,HIGH,structural_frame,ifc_model: V1/verandah members,
A - Structural Frame,,Structural Steel Post (75×75×4 SHS),lm,96.69,measured,HIGH,structural_frame,ifc_model: SHS steel,
A - Structural Frame,,Roof Battens (FRAMECAD BATTEN — all zones),lm,1385.3,measured,HIGH,roof_battens,framecad_bom: FrameCAD BATTEN entries,BOM total 266 pieces (1385.3 lm) — all batten zones. Grade split: ≥35mm (roof top-hat) = 85 nr / 510.0 lm; <35mm (ceiling/wall) = 181 nr / 875.3 lm. Zone separation inferred from BOM grade — see per-family rows below.
A - Structural Frame,,Ceiling/Wall Batten G22 × 4800mm,nr,176,measured,LOW,roof_battens,framecad_bom: BATTEN 22 176 4800,Ceiling/wall batten (grade 22mm <35mm threshold). 4800mm stock length. Total: 844.8 lm. Zone inferred from grade — confirm against FrameCAD batten schedule.
A - Structural Frame,,Ceiling/Wall Batten G22 × 6100mm,nr,5,measured,LOW,roof_battens,framecad_bom: BATTEN 22 5 6100,Ceiling/wall batten (grade 22mm <35mm threshold). 6100mm stock length. Total: 30.5 lm. Zone inferred from grade — confirm against FrameCAD batten schedule.
A - Structural Frame,,Roof Top-Hat Batten G40 × 6000mm,nr,85,measured,MEDIUM,roof_battens,framecad_bom: BATTEN 40 85 6000,Roof top-hat batten (grade 40mm ≥35mm threshold). 6000mm stock length. Total: 510.0 lm. Zone inferred from grade — confirm against FrameCAD batten schedule.
G - Floor System,,Floor Panel — Standard Load Floor Panel — General Areas (1.8kPa),nr,21,inferred,LOW,floor_system,project_config: main_floor_area=64.80m² × fraction(0.7) = 45.36m²; joist_spacing=450mm; bearer_spacing=1800mm; span=dxf_geometry: DXF: floor=86.4m² perim=38.4m → L=12.0m W=7.2m; verandah=21.6m² depth=3.0m (engineering inference: full-width attachment); main=64.8m² (9.0m×7.2m); span=7.2m run=9.0m,"MANUAL REVIEW REQUIRED. General pharmacy areas (waiting, consultation, staff, storage). 70% area estimate from building use. No FrameCAD floor tab available — obtain actual panel schedule from engineer. Panel dimensions assumed 600mm × 3600mm (2.16m² each)."
G - Floor System,,Floor Joist LGS — 1.8kPa Zone,lm,100.8,inferred,LOW,floor_system,project_config: main_floor_area=64.80m² × fraction(0.7) = 45.36m²; joist_spacing=450mm; bearer_spacing=1800mm; span=dxf_geometry: DXF: floor=86.4m² perim=38.4m → L=12.0m W=7.2m; verandah=21.6m² depth=3.0m (engineering inference: full-width attachment); main=64.8m² (9.0m×7.2m); span=7.2m run=9.0m,"MANUAL REVIEW REQUIRED. General pharmacy areas (waiting, consultation, staff, storage). 70% area estimate from building use. No FrameCAD floor tab available — obtain actual panel schedule from engineer. Joist count at 450mm spacing across 7.2m span, 9.0m run."
G - Floor System,,Floor Bearer (pair) — 1.8kPa Zone,nr,3,inferred,LOW,floor_system,project_config: main_floor_area=64.80m² × fraction(0.7) = 45.36m²; joist_spacing=450mm; bearer_spacing=1800mm; span=dxf_geometry: DXF: floor=86.4m² perim=38.4m → L=12.0m W=7.2m; verandah=21.6m² depth=3.0m (engineering inference: full-width attachment); main=64.8m² (9.0m×7.2m); span=7.2m run=9.0m,"MANUAL REVIEW REQUIRED. General pharmacy areas (waiting, consultation, staff, storage). 70% area estimate from building use. No FrameCAD floor tab available — obtain actual panel schedule from engineer. Bearer pairs at 1800mm spacing. Verify from structural schedule."
G - Floor System,,Floor Panel — High-Load Floor Panel — Dispensary (4kPa),nr,9,inferred,LOW,floor_system,project_config: main_floor_area=64.80m² × fraction(0.3) = 19.44m²; joist_spacing=450mm; bearer_spacing=1800mm; span=dxf_geometry: DXF: floor=86.4m² perim=38.4m → L=12.0m W=7.2m; verandah=21.6m² depth=3.0m (engineering inference: full-width attachment); main=64.8m² (9.0m×7.2m); span=7.2m run=9.0m,MANUAL REVIEW REQUIRED. Dispensary area with heavy shelving/equipment. 30% area estimate. Obtain actual panel schedule from FrameCAD engineer before ordering. Panel dimensions assumed 600mm × 3600mm (2.16m² each).
G - Floor System,,Floor Joist LGS — 4kPa Zone,lm,43.2,inferred,LOW,floor_system,project_config: main_floor_area=64.80m² × fraction(0.3) = 19.44m²; joist_spacing=450mm; bearer_spacing=1800mm; span=dxf_geometry: DXF: floor=86.4m² perim=38.4m → L=12.0m W=7.2m; verandah=21.6m² depth=3.0m (engineering inference: full-width attachment); main=64.8m² (9.0m×7.2m); span=7.2m run=9.0m,"MANUAL REVIEW REQUIRED. Dispensary area with heavy shelving/equipment. 30% area estimate. Obtain actual panel schedule from FrameCAD engineer before ordering. Joist count at 450mm spacing across 7.2m span, 9.0m run."
G - Floor System,,Floor Bearer (pair) — 4kPa Zone,nr,2,inferred,LOW,floor_system,project_config: main_floor_area=64.80m² × fraction(0.3) = 19.44m²; joist_spacing=450mm; bearer_spacing=1800mm; span=dxf_geometry: DXF: floor=86.4m² perim=38.4m → L=12.0m W=7.2m; verandah=21.6m² depth=3.0m (engineering inference: full-width attachment); main=64.8m² (9.0m×7.2m); span=7.2m run=9.0m,MANUAL REVIEW REQUIRED. Dispensary area with heavy shelving/equipment. 30% area estimate. Obtain actual panel schedule from FrameCAD engineer before ordering. Bearer pairs at 1800mm spacing. Verify from structural schedule.
G - Floor System,,Floor Sheet (FC / plywood),sheets,24,calculated,LOW,floor_system,project_config+dxf_geometry: floor_area=64.80 m²,MANUAL REVIEW REQUIRED. Sheet size assumed same as ceiling FC sheet (1.2×2.4). Adjust if different.
G - Floor System,,Floor Sheet Fixing Screws,boxes,2,calculated,LOW,floor_system,project_config+dxf_geometry: sheet_count=24,16 fixings per sheet; 200 per box.
H - Substructure,,Strip Footing — External Perimeter,lm,38.4,calculated,MEDIUM,footings,derived_steel_floor: perimeter=38.4 m,Strip footing assumed for steel floor frame bearing lines. Assumed 500 mm deep × 400 mm wide. Verify type and dimensions from structural drawings.
H - Substructure,,Strip Footing — Concrete Volume,m3,7.68,calculated,LOW,footings,derived_steel_floor: 38.4 × 0.5 × 0.4,MANUAL REVIEW REQUIRED. Strip footing assumed for steel floor frame bearing lines. Assumed 500 mm deep × 400 mm wide. Verify type and dimensions from structural drawings.
H - Substructure,,Strip Footing — Formwork,lm,38.4,calculated,MEDIUM,footings,derived_steel_floor: perimeter=38.4 m,
H - Substructure,,Bulk Earthworks / Level (provisional),m3,0,placeholder,LOW,footings,no site survey in sources,MANUAL REVIEW REQUIRED. Excavation volume cannot be derived from architectural documents.
H - Substructure,,Strip Footing — Internal Bearing Lines,lm,29.4,calculated,MEDIUM,footings,dxf_geometry: int_wall_lm=29.4 m,Internal bearing lines assumed at each internal wall run. Total: 29.4 lm. Verify from structural drawings — actual bearing lines may differ from partition walls.
H - Substructure,,Strip Footing Internal — Concrete Volume,m3,5.88,calculated,LOW,footings,derived: 29.4 × 0.5 × 0.4,MANUAL REVIEW REQUIRED. Assumed 500 mm deep × 400 mm wide. Verify.
H - Substructure,,Pad Footing (concrete),nr,15,measured,MEDIUM,footings,dxf_geometry: count=15,
H - Substructure,,Pad Footing Concrete (m3),m3,5.145,calculated,LOW,footings,derived: 15 pads × 0.343 m³,MANUAL REVIEW REQUIRED. Assumes 700×700×700 mm pads. Verify from structural engineer.
A - Structural Frame,,Framing Screw 12G-14×20 HEX Head (LGS stud-to-track),boxes,19,calculated,MEDIUM,structural_fixings,"framecad_bom: wall=2300.4lm, roof_panel=481.7lm, batten=1385.3lm; dxf: pad_count=15, strip_perim=0.0m","MANUAL REVIEW REQUIRED. Stud-to-track connections: 2300.4lm × 4.0 per m = ~9202 screws, 19 boxes (500/box). Density: 2 screws per stud end (top+bottom). Verify with FrameCAD connection schedule."
A - Structural Frame,,Framing Screw 10G-24×40 Countersunk (roof panel),boxes,3,calculated,MEDIUM,structural_fixings,"framecad_bom: wall=2300.4lm, roof_panel=481.7lm, batten=1385.3lm; dxf: pad_count=15, strip_perim=0.0m","MANUAL REVIEW REQUIRED. Purlin-to-rafter / roof panel connections: 481.7lm × 3.0 per m = ~1445 screws, 3 boxes. Verify with FrameCAD connection report."
A - Structural Frame,,Framing Screw 10G-14×16 Wafer Head (batten-to-purlin),boxes,7,calculated,LOW,structural_fixings,"framecad_bom: wall=2300.4lm, roof_panel=481.7lm, batten=1385.3lm; dxf: pad_count=15, strip_perim=0.0m","MANUAL REVIEW REQUIRED. Batten-to-purlin connections: 1385.3lm total batten × 2.5 per m = ~3463. Includes roof, wall, and ceiling batten zones from FrameCAD BOM. Verify zone scope before ordering."
A - Structural Frame,,Sleeve Anchor M12×75 — Pad Footings,nr,60,calculated,MEDIUM,structural_fixings,dxf_geometry: pad_count=15 (DXF STRUCTURE layer),MANUAL REVIEW REQUIRED. 15 pad footings × 4 M12×75 anchors each (4-bolt base plate). Verify anchor embedment depth and edge distance from structural engineer.
A - Structural Frame,,PH Post Holder Bracket (PHA/PHB/PHD),nr,28,calculated,LOW,structural_fixings,ifc_model: steel_shs_lm=96.69 / avg_height(3.5m),MANUAL REVIEW REQUIRED. Post holder brackets at column bases. Count estimated from IFC steel post lm. Verify bracket type (PHA/PHB/PHD) against post size and load from structural drawings.
A - Structural Frame,,Triple Grip Connector (roof-to-wall uplift),nr,36,calculated,LOW,structural_fixings,dxf_geometry: eaves_length=42.4m,MANUAL REVIEW REQUIRED. Roof-to-wall-plate cyclonic uplift connections at 1.2m centres along 42.4m eave line = 36 nr. Verify spacing and type from structural engineer (cyclone region requirement).
A - Structural Frame,,Hold-Down Washer — Cyclonic (post base),nr,60,calculated,LOW,structural_fixings,dxf_geometry: pad_count=15,"MANUAL REVIEW REQUIRED. Hold-down washers at post base connections. 15 pads × 4 = 60 nr. Verify washer specification (size, grade) from structural drawings."
A - Structural Frame,,Fix Plate / Gusset Plate (strap bracing connection),nr,18,calculated,LOW,structural_fixings,framecad_bom: wall_strap_lm=49.73lm,MANUAL REVIEW REQUIRED. Fix plates at strap bracing termination points: 49.7lm × 0.35 = 18 nr. Verify against FrameCAD connection schedule.
A - Structural Frame,,Diagonal Strap Tensioner / Anchor (bracing strap end),nr,34,calculated,LOW,structural_fixings,framecad_bom: wall_strap_lm=49.73lm,MANUAL REVIEW REQUIRED. Strap termination anchors: 49.7lm ÷ 3m avg run = 17 runs × 2 ends. Verify strap count and anchor type from FrameCAD connection schedule.
A - Structural Frame,,Cable Grommet (LGS service penetration),nr,45,inferred,LOW,structural_fixings,dxf_geometry: int_wall_lm=29.4m,MANUAL REVIEW REQUIRED. Cable/conduit grommets at LGS stud penetrations. 29.4m internal wall × 1.5 per m = 45 nr. Quantity depends on electrical/hydraulic layout. Verify from services drawings.
A - Structural Frame,,Structural Fixings Remainder — Hex Bolts / Angles / Misc (PLACEHOLDER),item,0,placeholder,LOW,structural_fixings,no fixing schedule in source documents,"MANUAL REVIEW REQUIRED. PLACEHOLDER for connection schedule items not derivable from member lm alone. Typical items: M10/M12/M16 hex bolts (hold-down posts), angle brackets (knee bracing, ridge connections), spring washers, nyloc nuts. Obtain FrameCAD connection report for full schedule. Reference BOQ includes 256+ individual fixing line items — this row represents residual scope."
B - Roof,,Sisalation / Sarking,rolls,2,calculated,HIGH,roof_cladding,dxf_geometry: roof_area=106.60 m²,
B - Roof,,Roof Tek Screws,boxes,11.0,calculated,MEDIUM,roof_cladding,dxf_geometry: roof_area=106.60 m²,1 box per 10 m² (approx 250 screws/box at 25 screws/m²)
B - Roof,,Roof Cladding Sheet (corrugated / CGI),sheets,49,calculated,MEDIUM,roof_cladding,"dxf_geometry: roof_area=106.60 m², eaves_lm=42.40 m",MANUAL REVIEW REQUIRED. run=2.51m (area/eaves) + 150mm lap → select 3.0m stock Verify sheet length and profile from spec.
B - Roof,,Ridge Capping,lm,10.6,calculated,MEDIUM,roof_ridge_accessories,dxf_geometry: ridge_length=10.60 lm,
B - Roof,,Ridge Cap Fixing Screws,nr,36.0,calculated,MEDIUM,roof_ridge_accessories,dxf_geometry: ridge_length=10.60 lm,1 screw per 300 mm
B - Roof,,Ridge End Cap,nr,2.0,calculated,MEDIUM,roof_ridge_accessories,dxf_geometry: ridge_length=10.60 lm,2 end caps per ridge run (one each end)
B - Roof,,Fascia Board,lm,42.4,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: eaves_length=42.40 lm,
B - Roof,,Fascia Clips,nr,71.0,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: eaves_length=42.40 lm,1 clip per 600 mm
B - Roof,,Birdproof Foam Strip,lm,42.4,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: eaves_length=42.40 lm,runs full eaves length
B - Roof,,Eaves Gutter,lm,42.4,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: eaves_length=42.40 lm,
B - Roof,,Gutter Joiner,nr,3.0,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: eaves_length=42.40 lm,PVC box gutter 6 m stock: joiners = total_lengths − estimated_run_count (≈eaves/10 m per run)
B - Roof,,Gutter Stop End,nr,6.0,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: eaves_length=42.40 lm,2 per run; add 2 per extra run > 20 m
B - Roof,,Barge Capping,lm,8.5,calculated,LOW,roof_flashings,dxf_geometry: barge_length=8.50 lm,MANUAL REVIEW REQUIRED.
B - Roof,,Barge End Cap,nr,2.0,calculated,LOW,roof_flashings,dxf_geometry: barge_length=8.50 lm,MANUAL REVIEW REQUIRED. 2 end caps per barge run (ridge peak and eaves)
B - Roof,,PVC Downpipe,nr,6.0,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: downpipe_count=6,
B - Roof,,Gutter Drop Outlet,nr,6.0,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: downpipe_count=6,
B - Roof,,Downpipe Elbow (90°),nr,12.0,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: downpipe_count=6,top + bottom elbow per downpipe
B - Roof,,Downpipe Clip / Saddle,nr,18.0,calculated,MEDIUM,roof_eaves_drainage,dxf_geometry: downpipe_count=6,approx 3 clips per 3 m drop
K - External Works,,External Wall Cladding — FC Weatherboard (supply & fix),m2,87.14,calculated,HIGH,external_cladding,"dxf_geometry: ext_wall_perimeter=38.40 m, h=2.4 m",Gross 92.16 m² − openings 5.02 m² = 87.14 m²
K - External Works,,FC Weatherboard — Board Count,nr,126,calculated,MEDIUM,external_cladding,"dxf_geometry: ext_lm=38.40 m, wall_h=2.4 m","MANUAL REVIEW REQUIRED. Weatherboard: 200mm exposure, 4200mm stock length. Count includes 5% waste.  Verify board profile and lap from spec."
K - External Works,,FC Weatherboard H-Joiner Extrusion,nr,72,calculated,MEDIUM,external_cladding,dxf_geometry: floor_area=86.4m² + ext_perim=38.4m → L=12.0m W=7.2m,"H-joiners per façade face (joiners at butt-joins only, not corners). Verify count from cladding layout."
K - External Works,,External Corner Flashing (FC cladding),nr,4,inferred,MEDIUM,external_cladding,"dxf_geometry: ext_wall_perimeter=38.4m, floor_area=86.4m² → L=12.0m W=7.2m",Corner count from building geometry (L=12.0m × W=7.2m rectangular = 4 corners). Verify against floor plan.
K - External Works,,External Corner Trim / Angle Bead,lm,9.6,calculated,MEDIUM,external_cladding,derived: 4 corners × 2.4 m,"One trim per corner, full wall height. Verify profile and spec."
K - External Works,,FC Weatherboard Stud Fixing Clip,nr,768,calculated,MEDIUM,external_cladding,"dxf_geometry: ext_lm=38.40 m, stud_spacing=600mm",Stud clips at 600mm centres. Verify clip type from manufacturer spec.
K - External Works,,Stainless Steel Screw — Cladding Fix,nr,1536,calculated,LOW,external_cladding,derived from clip count: 768,2 × stainless screws per fixing clip. Verify size and type from spec.
K - External Works,,Building Wrap / Sarking — External Wall,m2,96.77,calculated,MEDIUM,external_cladding,dxf_geometry: ext_lm=38.40 m × wall_h=2.4 m,Includes 5% for laps. Gross area — no deduction for openings in sarking schedule.
K - External Works,,Verandah Decking / Slab,m2,21.6,measured,HIGH,external_verandah,dxf_geometry: verandah_area=21.60 m²,
K - External Works,,Site Preparation (Provisional),item,0,placeholder,LOW,external_works,no site survey in sources,MANUAL REVIEW REQUIRED. Site preparation scope cannot be derived from drawings. Confirm with engineer.
D - Openings,,Door — DOOR_90 (920mm),nr,1,measured,HIGH,openings_doors,dxf_blocks: mark=DOOR_90 count=1,swing=hinged
D - Openings,,Door — DOOR_82 (820mm),nr,4,measured,HIGH,openings_doors,dxf_blocks: mark=DOOR_82 count=4,swing=hinged
D - Openings,,Door — DOOR_72 (720mm),nr,1,measured,HIGH,openings_doors,dxf_blocks: mark=DOOR_72 count=1,swing=hinged
D - Openings,,Door Head Flashing,lm,5.52,calculated,MEDIUM,openings_doors,"dxf_blocks: door widths DOOR_90=0.92m×1, DOOR_82=0.82m×4, DOOR_72=0.72m×1",Head flashing extends 50 mm beyond door frame each side.
D - Openings,,Door Sill Flashing,lm,5.52,calculated,MEDIUM,openings_doors,dxf_blocks: 6 doors,Sill flashing for all doors. Remove from internal doors not requiring sill.
D - Openings,,Door Leaf,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_90 count=1,opening_mark=DOOR_90
D - Openings,,Door Frame Set,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_90 count=1,opening_mark=DOOR_90
D - Openings,,Door Hinge (pair),nr,3.0,calculated,MEDIUM,openings_door_hardware,dxf_blocks: DOOR_90 count=1,opening_mark=DOOR_90  3 pairs per door (standard)
D - Openings,,Door Lockset,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_90 count=1,opening_mark=DOOR_90
D - Openings,,Door Stop,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_90 count=1,opening_mark=DOOR_90
D - Openings,,Door Leaf,nr,4.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82
D - Openings,,Door Frame Set,nr,4.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82
D - Openings,,Door Hinge (pair),nr,12.0,calculated,MEDIUM,openings_door_hardware,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82  3 pairs per door (standard)
D - Openings,,Door Lockset,nr,4.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82
D - Openings,,Door Stop,nr,4.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_82 count=4,opening_mark=DOOR_82
D - Openings,,Door Leaf,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
D - Openings,,Door Frame Set,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
D - Openings,,Door Hinge (pair),nr,3.0,calculated,MEDIUM,openings_door_hardware,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72  3 pairs per door (standard)
D - Openings,,Door Lockset,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
D - Openings,,Door Stop,nr,1.0,calculated,HIGH,openings_door_hardware,dxf_blocks: DOOR_72 count=1,opening_mark=DOOR_72
D - Openings,,Window — WINDOW_LOUVRE_1100,nr,8,measured,MEDIUM,openings_windows,dxf_blocks: mark=WINDOW_LOUVRE_1100 count=8,type=louvre
D - Openings,,Window — WINDOW_LOUVRE_800,nr,2,measured,MEDIUM,openings_windows,dxf_blocks: mark=WINDOW_LOUVRE_800 count=2,type=louvre
D - Openings,,Window — WINDOW_LOUVRE_1800,nr,1,measured,MEDIUM,openings_windows,dxf_blocks: mark=WINDOW_LOUVRE_1800 count=1,type=louvre
D - Openings,,Window Head Flashing — WINDOW_LOUVRE_1100,lm,9.44,calculated,MEDIUM,openings_windows,dxf_blocks: block_name: WINDOW_LOUVRE_1100 count=8,Head flashing extends 50 mm beyond frame each side.
D - Openings,,Window Sill Flashing — WINDOW_LOUVRE_1100,lm,9.44,calculated,MEDIUM,openings_windows,dxf_blocks: block_name: WINDOW_LOUVRE_1100 count=8,Sill flashing same lm as head flashing. Remove if window sits on masonry sill.
D - Openings,,Louvre Blade — WINDOW_LOUVRE_1100,nr,64,calculated,LOW,openings_windows,dxf_blocks: config_default=750mm count=8,MANUAL REVIEW REQUIRED. Frame height 750 mm (config_default=750mm). 8 blades per frame at 100 mm pitch. Verify blade count and size from window schedule.
D - Openings,,Window Head Flashing — WINDOW_LOUVRE_800,lm,1.8,calculated,MEDIUM,openings_windows,dxf_blocks: block_name: WINDOW_LOUVRE_800 count=2,Head flashing extends 50 mm beyond frame each side.
D - Openings,,Window Sill Flashing — WINDOW_LOUVRE_800,lm,1.8,calculated,MEDIUM,openings_windows,dxf_blocks: block_name: WINDOW_LOUVRE_800 count=2,Sill flashing same lm as head flashing. Remove if window sits on masonry sill.
D - Openings,,Louvre Blade — WINDOW_LOUVRE_800,nr,16,calculated,LOW,openings_windows,dxf_blocks: config_default=750mm count=2,MANUAL REVIEW REQUIRED. Frame height 750 mm (config_default=750mm). 8 blades per frame at 100 mm pitch. Verify blade count and size from window schedule.
D - Openings,,Window Head Flashing — WINDOW_LOUVRE_1800,lm,1.95,calculated,MEDIUM,openings_windows,dxf_blocks: block_name: WINDOW_LOUVRE_1800 count=1,Head flashing extends 50 mm beyond frame each side.
D - Openings,,Window Sill Flashing — WINDOW_LOUVRE_1800,lm,1.95,calculated,MEDIUM,openings_windows,dxf_blocks: block_name: WINDOW_LOUVRE_1800 count=1,Sill flashing same lm as head flashing. Remove if window sits on masonry sill.
D - Openings,,Louvre Blade — WINDOW_LOUVRE_1800,nr,8,calculated,LOW,openings_windows,dxf_blocks: config_default=750mm count=1,MANUAL REVIEW REQUIRED. Frame height 750 mm (config_default=750mm). 8 blades per frame at 100 mm pitch. Verify blade count and size from window schedule.
D - Openings,,Louvre Window Frame,nr,8.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_1100 count=8,opening_mark=WINDOW_LOUVRE_1100
D - Openings,,Louvre Blade Set,nr,8.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_1100 count=8,opening_mark=WINDOW_LOUVRE_1100
D - Openings,,Flyscreen,nr,8.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_1100 count=8,opening_mark=WINDOW_LOUVRE_1100
D - Openings,,Louvre Window Frame,nr,2.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_800 count=2,opening_mark=WINDOW_LOUVRE_800
D - Openings,,Louvre Blade Set,nr,2.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_800 count=2,opening_mark=WINDOW_LOUVRE_800
D - Openings,,Flyscreen,nr,2.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_800 count=2,opening_mark=WINDOW_LOUVRE_800
D - Openings,,Louvre Window Frame,nr,1.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_1800 count=1,opening_mark=WINDOW_LOUVRE_1800
D - Openings,,Louvre Blade Set,nr,1.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_1800 count=1,opening_mark=WINDOW_LOUVRE_1800
D - Openings,,Flyscreen,nr,1.0,calculated,MEDIUM,openings_window_hardware,dxf_blocks: WINDOW_LOUVRE_1800 count=1,opening_mark=WINDOW_LOUVRE_1800
D - Openings,,Fly Screen — WINDOW_LOUVRE_1100,m2,6.48,calculated,LOW,openings_window_hardware,dxf_blocks: mark=WINDOW_LOUVRE_1100 w=1.08m (block_name) h=0.750m (config_default=750mm) qty=8,MANUAL REVIEW REQUIRED. Fly screen for louvre window WINDOW_LOUVRE_1100 (8 nr). Area: 1.08m × 0.750m = 0.810 m² each. Tropical building — all louvre openings require insect screening. Verify frame height from window schedule.
D - Openings,,Fly Screen — WINDOW_LOUVRE_800,m2,1.2,calculated,LOW,openings_window_hardware,dxf_blocks: mark=WINDOW_LOUVRE_800 w=0.80m (block_name) h=0.750m (config_default=750mm) qty=2,MANUAL REVIEW REQUIRED. Fly screen for louvre window WINDOW_LOUVRE_800 (2 nr). Area: 0.80m × 0.750m = 0.599 m² each. Tropical building — all louvre openings require insect screening. Verify frame height from window schedule.
D - Openings,,Fly Screen — WINDOW_LOUVRE_1800,m2,1.39,calculated,LOW,openings_window_hardware,dxf_blocks: mark=WINDOW_LOUVRE_1800 w=1.85m (block_name) h=0.750m (config_default=750mm) qty=1,MANUAL REVIEW REQUIRED. Fly screen for louvre window WINDOW_LOUVRE_1800 (1 nr). Area: 1.85m × 0.750m = 1.385 m² each. Tropical building — all louvre openings require insect screening. Verify frame height from window schedule.
D - Openings,,Door Closer — Hydraulic (main entrance),nr,1,inferred,MEDIUM,openings_door_hardware,dxf_blocks: DOOR_90 (width≥850mm or DOOR_90),MANUAL REVIEW REQUIRED. Door closer inferred for pharmacy entrance doors. Marks: DOOR_90 (1 nr). Verify which doors require closers from door schedule and architect. Commercial pharmacy may require controlled entry.
F - Finishes,,Architrave — Door,lm,36.0,calculated,MEDIUM,openings_finishes,derived from door_count=6,
F - Finishes,,Architrave — Window,lm,52.8,calculated,MEDIUM,openings_finishes,derived from window_count=11,
